image_id,num_duplicates
103274711606405.jpeg,26
106038134743891.jpeg,2
107444831230993.jpeg,6
112344097703670.jpeg,3
112437989683736.jpeg,0
114725017453873.jpeg,3
116586667210629.jpeg,1
117844676923836.jpeg,0
118468932404077.jpeg,0
