image_id,num_duplicates
4343914505656908.jpeg,0
4351025524912839.jpeg,1
444471550573222.jpeg,0
444769136813663.jpeg,0
446232230163349.jpeg,0
4489547871066966.jpeg,0
449382846321928.jpeg,0
449386083447474.jpeg,1
449792026013027.jpeg,0
452453262747030.jpeg,0
454236365423524.jpeg,0
460544251957024.jpeg,0
460795708359123.jpeg,1
461906624997620.jpeg,0
462303667954284.jpeg,0
464416795268498.jpeg,0
466751821382300.jpeg,0
469131504118053.jpeg,0
471703810937640.jpeg,0
476056650181981.jpeg,0
476486060032948.jpeg,0
477093006706486.jpeg,0
480074106361284.jpeg,0
481900986888846.jpeg,0
484489199947494.jpeg,0
490341081512164.jpeg,0
492687001734230.jpeg,0
493454738520635.jpeg,0
495301028106870.jpeg,1
496956951096301.jpeg,0
497383744562591.jpeg,0
498712018203198.jpeg,0
499979497448695.jpeg,0
505257370796853.jpeg,0
506356790374408.jpeg,0
509875737041674.jpeg,0
513981833038175.jpeg,0
517024089413434.jpeg,0
517768072306238.jpeg,0
520321662149951.jpeg,0
527792954647530.jpeg,0
538120626609941.jpeg,0
545668343259030.jpeg,0
550970475962992.jpeg,0
551638349275838.jpeg,0
563084281398357.jpeg,0
567842717982501.jpeg,0
578449792881046.jpeg,0
578508660013827.jpeg,0
578686926157396.jpeg,0
582869775899646.jpeg,0
583409302278604.jpeg,0
586075659422013.jpeg,0
587923912014351.jpeg,0
593317667965262.jpeg,0
594246601658577.jpeg,0
598112127887621.jpeg,0
605200690354840.jpeg,0
612242146704804.jpeg,0
617717965300038.jpeg,0
623024345592033.jpeg,0
625510378819554.jpeg,0
627002555249293.jpeg,0
627685111878157.jpeg,0
628255397733859.jpeg,0
6327247670649779.jpeg,0
636356730821526.jpeg,0
653618852192378.jpeg,0
676811166169956.jpeg,0
679414372776335.jpeg,0
680875772612134.jpeg,0
685190931837225.jpeg,0
686851088860730.jpeg,0
704555646920788.jpeg,0
708057236737450.jpeg,0
708474402911491.jpeg,0
710710673153558.jpeg,0
713558295738248.jpeg,0
725183521183948.jpeg,0
728567247763155.jpeg,0
731560410838039.jpeg,1
731658837305957.jpeg,0
739315030046180.jpeg,0
765012534414393.jpeg,0
777035312919502.jpeg,0
779999242671847.jpeg,0
781020649179759.jpeg,0
784310252458480.jpeg,0
800776000433607.jpeg,0
803317496692909.jpeg,0
807433152938404.jpeg,0
813749339562238.jpeg,0
826085094904305.jpeg,0
826388887941062.jpeg,0
831456154091197.jpeg,0
838564299819209.jpeg,0
848487699281836.jpeg,0
850982442413035.jpeg,0
853780981837880.jpeg,0
860816804592767.jpeg,0
875846336296123.jpeg,0
877229836387562.jpeg,0
882520048776708.jpeg,0
884080315543184.jpeg,0
888783295100530.jpeg,0
890637451602045.jpeg,0
895361131342183.jpeg,0
901097150650993.jpeg,0
902183473873192.jpeg,0
907379272978605.jpeg,0
914764122599177.jpeg,0
920282155445090.jpeg,0
930296187693404.jpeg,0
936129867193407.jpeg,0
937319013723448.jpeg,0
940334196780110.jpeg,0
949497072534103.jpeg,0
951831105741123.jpeg,0
952169882257188.jpeg,0
977944053012130.jpeg,0
980235252906521.jpeg,0
